date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202020%2018:45:54%20GMT	https://bootcamp.lv/robots.txt		(from )
21:45:54	44989/44989	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2018:45:55%20GMT	https://bootcamp.lv/	C:/drage/bootcampjs/bootcamp.lv/index.html	(from )
21:45:54	252106/252106	---M--	200	added ('OK')	image/png	etag:%223d8ca-57f952e3a9880%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/images/og-img.png	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/images/og-img.png	(from https://bootcamp.lv/)
21:45:54	3776/3776	---M--	200	added ('OK')	image/png	etag:%22ec0-5801cccdc9100%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/apple-touch-icon.png	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/apple-touch-icon.png	(from https://bootcamp.lv/)
21:45:54	1378/1378	---M--	200	added ('OK')	image/png	etag:%22562-5801cccfb1580%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon-32x32.png	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon-32x32.png	(from https://bootcamp.lv/)
21:45:55	775/775	---M--	200	added ('OK')	image/png	etag:%22307-5801cccfb1580%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon-16x16.png	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon-16x16.png	(from https://bootcamp.lv/)
21:45:55	487/487	---M--	200	added ('OK')	text/html	etag:%221e7-5801ccd752780%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/site.webmanifest	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/site.html	(from https://bootcamp.lv/)
21:45:55	5984/5984	---M--	200	added ('OK')	image/svg+xml	etag:%221760-5801ccd752780%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/safari-pinned-tab.svg	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/safari-pinned-tab.svg	(from https://bootcamp.lv/)
21:45:55	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5801cccfb1580%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon.ico	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/favicon.ico	(from https://bootcamp.lv/)
21:45:56	283/283	---M-Z	200	added ('OK')	application/xml	etag:%2211b-5801cccfb1580-gzip%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/browserconfig.xml	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/browserconfig.xml	(from https://bootcamp.lv/)
